Category,Question,Answer options,Correct Answer,Source (Include a url)
Energy history/General,What is the fundamental difference between power (measured in watts) and energy (measured in watt-hours)?,"A) Power is the rate of energy use at a moment in time; energy is power used over time
B) Power and energy are the same thing, just different units
C) Power is only for electricity; energy includes all fuel types",A) Power is the rate of energy use at a moment in time; energy is power used over time,https://www.eia.gov/energyexplained/units-and-calculators/
Energy history/General,"
According to Ohm's Law, how are voltage (volts), current (amps), and power (watts) related?","A) Watts = Volts × Amps
B) Watts = Volts ÷ Amps
C) Watts = Volts + Amps",A) Watts = Volts × Amps,https://www.energy.gov/energysaver/energy-basics
Energy history/General,Which of the following uses approximately 1 watt-hour of energy?,"A) Running a typical LED light bulb for one hour
B) Charging a smartphone for about 15-20 minutes
C) Running a laptop computer for one hour",B) Charging a smartphone for about 15-20 minutes,https://www.energy.gov/energysaver/energy-saver-guide
Energy history/General,Which of the following represents approximately 1 megawatt-hour (MWh) of energy consumption?,"A) The monthly electricity use of a typical U.S. household
B) Powering about 30-40 average U.S. homes for one hour
C) Running a smartphone for one year",B) Powering about 30-40 average U.S. homes for one hour,https://www.eia.gov/tools/faqs/faq.php?id=97&t=3
Energy history/General,Which of the following represents approximately 1 gigawatt-hour (GWh) of energy?,"A) Annual electricity consumption of about 90,000 average U.S. homes
B) Powering a large data center for about one month
C) The electricity needed to charge one electric vehicle","A) Annual electricity consumption of about 90,000 average U.S. homes",https://www.eia.gov/electricity/monthly/
Energy history/General,What was the first customer to receive electricity from Thomas Edison's Pearl Street Station in New York City in 1882?,"A) The New York Times building
B) The White House
C) Grand Central Terminal",A) The New York Times building,https://americanhistory.si.edu/lighting/19thcent/
Energy history/General,Where was the first hydroelectric power plant in the United States built in 1882?,"A) Niagara Falls, New York
B) Appleton, Wisconsin
C) Hoover Dam, Nevada","B) Appleton, Wisconsin",https://www.energy.gov/eere/water/history-hydropower
Energy history/General,"In what year was the Tennessee Valley Authority (TVA), one of the largest public power providers in the U.S., created as part of the New Deal?","A) 1929
B) 1933
C) 1941",B) 1933,https://www.tva.com/about-tva/our-history
Energy history/General,"Samuel Insull, known as the architect of the modern electric utility industry, built his utility empire primarily in which U.S. city before his companies collapsed during the Great Depression?","A) Los Angelos
B) New York
C) Chicago",C) Chicago,https://www.smithsonianmag.com/history/
Energy history/General,"Pacific Gas and Electric Company (PG&E), one of the largest utilities in the United States, was formed in what year?","A) 1852
B) 1905
C) 1920",B) 1905,https://www.pge.com/en_US/about-pge/company-information/company-history/company-history.page
Energy history/General,"What was the first commercial nuclear power plant in the United States, which began operation in 1957?","A) Three Mile Island, Pennsylvania
B) Diablo Canyon, California 
C) Shippingport Atomic Power Station, Pennsylvania","C) Shippingport Atomic Power Station, Pennsylvania",https://www.nrc.gov/about-nrc/history.html
Energy history/General,"The massive Northeast Blackout of November 9, 1965, which affected over 30 million people across multiple states and Canada, was triggered by what event?","A) A hurricane destroying major transmission lines
B) A relay malfunction at a power station near Niagara Falls
C) A cyber attack on grid control systems",B) A relay malfunction at a power station near Niagara Falls,https://www.energy.gov/articles/northeast-blackout-1965
Energy history/General,Where was the first modern utility-scale wind turbine installed in the United States in 1941?,"A) Palm Springs, California
B) Grandpa's Knob, Vermont
C) Altamont Pass, California","B) Grandpa's Knob, Vermont",https://www.energy.gov/eere/wind/history-wind-energy
Energy history/General,"Bell Labs created the first practical silicon solar cell in what year, marking the beginning of modern solar power technology?","A) 1937
B) 1946
C) 1954",C) 1954,https://www.energy.gov/eere/solar/articles/history-solar-energy
Energy history/General,The oil crisis of what year significantly accelerated U.S. government investment in renewable energy research and development?,"A) 1965
B) 1973
C) 1985", B) 1973,https://www.eia.gov/todayinenergy/detail.php?id=40212
Energy history/General,"What was the name of the first commercial offshore wind farm in the United States, which began operation in 2016?","A)  Block Island Wind Farm 
B) Vineyard Wind
C) Cape Wind",A) Block Island Wind Farm,https://www.energy.gov/eere/articles/united-states-first-offshore-wind-farm-now-spinning
Energy history/General,In which state did the first geothermal power plant in the United States begin operation in 1960?,"A) Nevada
B) California
C) Hawaii",B) California,https://www.energy.gov/eere/geothermal/history-geothermal-energy-america
Energy history/General,LED light bulbs use approximately what percentage less energy than traditional incandescent bulbs to produce the same amount of light?,"A) 40-50% less
B) 75-80% less
C) 20-30% less",B) 75-80% less,https://www.energy.gov/energysaver/lighting-choices-save-you-money
Energy history/General,Approximately what percentage of total U.S. energy consumption is attributed to buildings (residential and commercial combined)?,"A) 40%
B) 51%
C) 60%",A) 40%,https://www.eia.gov/energyexplained/use-of-energy/
Energy history/General,Modern heat pumps can be how many times more efficient at heating than traditional electric resistance heating?,"A) 1.5 times more efficient
B) 3-4 times more efficient
C) 10 times more efficient",B) 3-4 times more efficient,https://www.energy.gov/energysaver/heat-pump-systems
